Unique ID,Card Name,Card Type,Card Stage,Rarity,Set,Series,Count,Image URL
638,Zacian,Metal,Basic,R,"PAR, Paradox Rift",SV,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV04/SV04_EN_136.png
639,Durant,Metal,Basic,U,"PAR, Paradox Rift",SV,2,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV04/SV04_EN_129.png
640,Orthworm,Metal,Basic,U,"PAR, Paradox Rift",SV,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV04/SV04_EN_138.png
641,Honedge,Metal,Basic,C,"PAR, Paradox Rift",SV,3,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV04/SV04_EN_130.png
642,Doublade,Metal,Stage 1,C,"PAR, Paradox Rift",SV,2,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV04/SV04_EN_133.png
643,Aegislash,Metal,Stage 2,R,"PAR, Paradox Rift",SV,2,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV04/SV04_EN_134.png
644,Ferroseed,Metal,Basic,C,"PAR, Paradox Rift",SV,2,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV04/SV04_EN_127.png
645,Alolan Diglett,Metal,Basic,C,"SSP, Surging Sparks",SV,2,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV08/SV08_EN_122.png
646,Jirachi,Metal,Basic,U,"SCR, Stellar Crown",SV,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV07/SV07_EN_98.png
647,Bronzor,Metal,Basic,C,"SSP, Surging Sparks",SV,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV08/SV08_EN_126.png
648,Bronzong,Metal,Stage 1,C,"SSP, Surging Sparks",SV,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV08/SV08_EN_127.png
649,Genesect,Metal,Basic,U,"SFA, Shrouded Fable",SV,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV6PT5/SV6PT5_EN_40.png
650,Varoom,Metal,Basic,C,"SFA, Shrouded Fable",SV,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV6PT5/SV6PT5_EN_43.png
651,Aron,Metal,Basic,C,"TWM, Twilight Masquerade",SV,3,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV06/SV06_EN_120.png
652,Lairon,Metal,Stage 1,C,"TWM, Twilight Masquerade",SV,2,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV06/SV06_EN_121.png
653,Aggron,Metal,Stage 2,U,"TWM, Twilight Masquerade",SV,2,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV06/SV06_EN_122.png
654,Varoom,Metal,Basic,C,"TWM, Twilight Masquerade",SV,4,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV06/SV06_EN_124.png
655,Revavroom,Metal,Stage 1,U,"TWM, Twilight Masquerade",SV,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV06/SV06_EN_125.png
656,Tatsugiri,Dragon,Basic,U,"PAR, Paradox Rift",SV,5,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV04/SV04_EN_141.png
657,Regidrago,Dragon,Basic,R,"EVS, Evolving Skies",SWSH,4,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SWSH7/SWSH7_EN_124.png
658,Zygarde,Dragon,Basic,R,"EVS, Evolving Skies",SWSH,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SWSH7/SWSH7_EN_118.png
659,Noibat,Dragon,Basic,C,"UNM, Unified Minds",SM,2,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM11/SM11_EN_158.png
660,Noivern,Dragon,Stage 1,R,"UNM, Unified Minds",SM,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM11/SM11_EN_159.png
661,Bagon,Dragon,Basic,C,"CES, Celestial Storm",SM,4,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM7/SM7_EN_104.png
662,Shelgon,Dragon,Stage 1,U,"CES, Celestial Storm",SM,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM7/SM7_EN_105.png
663,Dragonair,Dragon,Stage 1,U,"UNM, Unified Minds",SM,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM11/SM11_EN_149.png
664,Rayquaza GX,Dragon,Basic,RR,"CES, Celestial Storm",SM,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM7/SM7_EN_109.png
665,Raging Bolt ex,Dragon,Basic,RR,"TEF, Temporal Forces",SV,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV05/SV05_EN_123.png
666,Koraidon ex,Dragon,Basic,RR,"TEF, Temporal Forces",SV,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV05/SV05_EN_120.png
667,Miraidon,Dragon,Basic,R,"TEF, Temporal Forces",SV,9,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV05/SV05_EN_121.png
668,Bagon,Dragon,Basic,C,"EVS, Evolving Skies",SWSH,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SWSH7/SWSH7_EN_107.png
669,Koraidon,Dragon,Basic,R,"TEF, Temporal Forces",SV,2,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV05/SV05_EN_119.png
670,Flapple,Dragon,Stage 1,R,"EVS, Evolving Skies",SWSH,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SWSH7/SWSH7_EN_120.png
671,Giratina V,Dragon,Basic,RR,"LOR, Lost Origin",SWSH,3,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SWSH11/SWSH11_EN_130.png
672,Giratina VMax,Dragon,Stage 1,RR,"LOR, Lost Origin",SWSH,3,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SWSH11/SWSH11_EN_131.png
673,Ultra Necrozma GX,Dragon,Basic,RR,"FLI, Forbidden Light",SM,2,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SMP/SMP_EN_SM126.png
674,Dragapult ex,Dragon,Stage 2,RR,"TWM, Twilight Masquerade",SV,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV06/SV06_EN_200.png
675,Applin,Dragon,Basic,C,"TWM, Twilight Masquerade",SV,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV06/SV06_EN_126.png
676,Appletun,Dragon,Stage 1,U,"SSP, Surging Sparks",SV,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV08/SV08_EN_140.png
677,Axew,Dragon,Basic,C,"SFA, Shrouded Fable",SV,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV6PT5/SV6PT5_EN_44.png
678,Dratini,Dragon,Basic,C,"OBF, Obsidian Flames",SV,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV03/SV03_EN_157.png
679,Altaria,Dragon,Stage 1,U,"SSP, Surging Sparks",SV,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV08/SV08_EN_134.png
680,Tatsugiri,Dragon,Basic,U,"TWM, Twilight Masquerade",SV,3,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV06/SV06_EN_131.png
681,Dreepy,Dragon,Basic,C,"TWM, Twilight Masquerade",SV,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV06/SV06_EN_128.png
682,Dipplin,Dragon,Stage 1,U,"TWM, Twilight Masquerade",SV,2,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV06/SV06_EN_127.png
683,Dialga,Dragon,Basic,R,"SSP, Surging Sparks",SV,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV08/SV08_EN_135.png
684,Porygon,Colorless,Basic,C,"UNB, Unbroken Bonds",SM,5,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM10/SM10_EN_154.png
685,Porygon,Colorless,Basic,C,"UNB, Unbroken Bonds",SM,4,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM10/SM10_EN_155.png
686,Porygon2,Colorless,Stage 1,U,"UNB, Unbroken Bonds",SM,6,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM10/SM10_EN_156.png
687,Porygon-Z,Colorless,Stage 2,R,"UNB, Unbroken Bonds",SM,3,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM10/SM10_EN_157.png
688,Spearow,Colorless,Basic,C,"UNB, Unbroken Bonds",SM,9,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM10/SM10_EN_145.png
689,Fearow,Colorless,Stage 1,U,"UNB, Unbroken Bonds",SM,4,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM10/SM10_EN_146.png
690,Doduo,Colorless,Basic,C,"UNB, Unbroken Bonds",SM,3,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM10/SM10_EN_150.png
691,Pikipek,Colorless,Basic,C,"LOT, Lost Thunder",SM,3,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM8/SM8_EN_164.png
692,Trumbeak,Colorless,Stage 1,U,"LOT, Lost Thunder",SM,3,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM8/SM8_EN_165.png
693,Taillow,Colorless,Basic,C,"GRI, Guardians Rising",SM,2,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM2/SM2_EN_103.png
694,Swellow,Colorless,Stage 1,R,"GRI, Guardians Rising",SM,2,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM2/SM2_EN_104.png
695,Talonflame,Colorless,Stage 2,R,"GRI, Guardians Rising",SM,2,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM2/SM2_EN_111.png
696,Chatot,Colorless,Basic,U,"UNB, Unbroken Bonds",SM,5,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM10/SM10_EN_162.png
697,Wingull,Colorless,Basic,C,"CES, Celestial Storm",SM,2,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM7/SM7_EN_111.png
698,Pelipper,Colorless,Stage 1,U,"CES, Celestial Storm",SM,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM7/SM7_EN_112.png
699,Hoothoot,Colorless,Basic,C,"UNM, Unified Minds",SM,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM11/SM11_EN_165.png
700,Noctowl,Colorless,Stage 1,U,"UNM, Unified Minds",SM,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM11/SM11_EN_166.png
701,Meowth,Colorless,Basic,C,"UNB, Unbroken Bonds",SM,6,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM10/SM10_EN_147.png
702,Persian,Colorless,Stage 1,R,"UNB, Unbroken Bonds",SM,3,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM10/SM10_EN_148.png
703,Persian GX,Colorless,Stage 1,RR,"UNB, Unbroken Bonds",SM,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM10/SM10_EN_149.png
704,Skitty,Colorless,Basic,C,"CES, Celestial Storm",SM,3,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM7/SM7_EN_120.png
705,Delcatty,Colorless,Stage 1,R,"CES, Celestial Storm",SM,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM7/SM7_EN_121.png
706,Glameow,Colorless,Basic,C,"UNB, Unbroken Bonds",SM,7,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM10/SM10_EN_159.png
707,Purugly,Colorless,Stage 1,R,"UNB, Unbroken Bonds",SM,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM10/SM10_EN_160.png
708,Whismur,Colorless,Basic,C,"CES, Celestial Storm",SM,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM7/SM7_EN_116.png
709,Loudred,Colorless,Stage 1,U,"CES, Celestial Storm",SM,3,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM7/SM7_EN_118.png
710,Exploud,Colorless,Stage 2,R,"CES, Celestial Storm",SM,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM7/SM7_EN_119.png
711,Lickitung,Colorless,Basic,C,"UNM, Unified Minds",SM,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM11/SM11_EN_161.png
712,Lickitung,Colorless,Basic,C,"DET, Detective Pikachu",SM,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/DET/DET_EN_16.png
713,Lickitung,Colorless,Basic,C,"UNB, Unbroken Bonds",SM,7,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM10/SM10_EN_152.png
714,Lickilicky,Colorless,Stage 1,R,"UNB, Unbroken Bonds",SM,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM10/SM10_EN_153.png
715,Eevee,Colorless,Basic,C,"LOT, Lost Thunder",SM,3,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM8/SM8_EN_155.png
716,Happiny,Colorless,Basic,U,"UNB, Unbroken Bonds",SM,4,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM10/SM10_EN_161.png
717,Chansey,Colorless,Basic,C,"LOT, Lost Thunder",SM,4,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM8/SM8_EN_152.png
718,Rattata,Colorless,Basic,C,"UNB, Unbroken Bonds",SM,5,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM10/SM10_EN_143.png
719,Raticate,Colorless,Stage 1,U,"UNB, Unbroken Bonds",SM,6,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM10/SM10_EN_144.png
720,Ditto,Colorless,Basic,R,"LOT, Lost Thunder",SM,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM8/SM8_EN_154.png
721,Bewear,Colorless,Stage 1,U,"GRI, Guardians Rising",SM,2,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM2/SM2_EN_113.png
722,Dunsparce,Colorless,Basic,U,"CES, Celestial Storm",SM,4,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM7/SM7_EN_110.png
723,Kecleon,Colorless,Basic,U,"LOT, Lost Thunder",SM,2,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM8/SM8_EN_161.png
724,Kecleon,Colorless,Basic,U,"LOT, Lost Thunder",SM,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM7/SM7_EN_122.png
725,Kecleon,Colorless,Basic,U,"CES, Celestial Storm",SM,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM7/SM7_EN_122.png
726,Komala,Colorless,Basic,U,"UNM, Unified Minds",SM,2,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM11/SM11_EN_185.png
727,Oranguru,Colorless,Basic,R,"SUM, Sun & Moon",SM,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM1/SM1_EN_113.png
728,Stantler,Colorless,Basic,U,"LOT, Lost Thunder",SM,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM8/SM8_EN_156.png
729,Slakoth,Colorless,Basic,C,"CES, Celestial Storm",SM,2,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM7/SM7_EN_113.png
730,Bidoof,Colorless,Basic,C,"UNM, Unified Minds",SM,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM11/SM11_EN_171.png
731,Munchlax,Colorless,Basic,U,"UNM, Unified Minds",SM,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM11/SM11_EN_173.png
732,Snorlax,Colorless,Basic,R,"UNB, Unbroken Bonds",SM,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM10/SM10_EN_158.png
733,Lugia GX,Colorless,Basic,RR,"LOT, Lost Thunder",SM,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM8/SM8_EN_159.png
734,Greedent,Colorless,Stage 1,U,"SVI, Scarlet & Violet",SV,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV01/SV01_EN_152.png
735,Starly,Colorless,Basic,C,"SVI, Scarlet & Violet",SV,2,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV01/SV01_EN_148.png
736,Spinda,Colorless,Basic,C,"PAR, Paradox Rift",SV,6,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV04/SV04_EN_151.png
737,Tandemaus,Colorless,Basic,C,"PAR, Paradox Rift",SV,3,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV04/SV04_EN_154.png
738,Swablu,Colorless,Basic,C,"PAR, Paradox Rift",SV,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV04/SV04_EN_152.png
739,Whismur,Colorless,Basic,C,"PAR, Paradox Rift",SV,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV04/SV04_EN_148.png
740,Loudred,Colorless,Stage 1,C,"PAR, Paradox Rift",SV,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV04/SV04_EN_149.png
741,Exploud,Colorless,Stage 2,U,"PAR, Paradox Rift",SV,4,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV04/SV04_EN_150.png
742,Cyclizar,Colorless,Basic,U,"PAR, Paradox Rift",SV,4,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV04/SV04_EN_157.png
743,Porygon,Colorless,Basic,C,"PAR, Paradox Rift",SV,2,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV04/SV04_EN_142.png
744,Porygon2,Colorless,Stage 1,U,"CRE, Chilling Reign",SWSH,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SWSH6/SWSH6_EN_117.png
745,Ambipom,Colorless,Stage 1,U,"PAR, Paradox Rift",SV,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV04/SV04_EN_146.png
746,Miltank,Colorless,Basic,C,"PAR, Paradox Rift",SV,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV04/SV04_EN_147.png
747,Taillow,Colorless,Basic,C,"VIV, Vivid Voltage",SWSH,2,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SWSH4/SWSH4_EN_133.png
748,Furfrou,Colorless,Basic,C,"CRE, Chilling Reign",SWSH,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SWSH6/SWSH6_EN_126.png
749,Toucannon,Colorless,Stage 2,R,"VIV, Vivid Voltage",SWSH,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SWSH4/SWSH4_EN_145.png
750,Dubwool V,Colorless,Basic,RR,"RCL, Rebel Clash",SWSH,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SWSH2/SWSH2_EN_153.png
751,Dubwool,Colorless,Stage 1,U,"SSH, Sword & Shield",SWSH,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SWSH1/SWSH1_EN_154.png
752,Iron Jugulis,Colorless,Basic,R,"PAR, Paradox Rift",SV,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV04/SV04_EN_158.png
753,Togekiss V,Colorless,Basic,RR,"VIV, Vivid Voltage",SWSH,3,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SWSH4/SWSH4_EN_140.png
754,Togekiss VMax,Colorless,Stage 1,RR,"VIV, Vivid Voltage",SWSH,3,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SWSH4/SWSH4_EN_141.png
755,Minccino,Colorless,Basic,C,"SSH, Sword & Shield",SWSH,3,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SWSH1/SWSH1_EN_146.png
756,Cinccino,Colorless,Stage 1,R,"SSH, Sword & Shield",SWSH,3,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SWSH1/SWSH1_EN_147.png
757,Blissey,Colorless,Stage 1,U,"SVI, Scarlet & Violet",SV,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV01/SV01_EN_145.png
758,Lugia,Colorless,Basic,R,"CEL, Celebrations",SWSH,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/CEL/CEL_EN_22.png
759,Zangoose,Colorless,Basic,U,"SVI, Scarlet & Violet",SV,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV01/SV01_EN_147.png
760,Chatot,Colorless,Basic,C,"TEF, Temporal Forces",SV,2,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV05/SV05_EN_132.png
761,Iron Jugulis,Colorless,Basic,U,"TEF, Temporal Forces",SV,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV05/SV05_EN_139.png
762,Hoothoot,Colorless,Basic,C,"TEF, Temporal Forces",SV,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV05/SV05_EN_126.png
763,Skitty,Colorless,Basic,C,"TEF, Temporal Forces",SV,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV05/SV05_EN_130.png
764,Delcatty,Colorless,Basic,U,"TEF, Temporal Forces",SV,3,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV05/SV05_EN_131.png
765,Fletchinder,Colorless,Stage 1,U,"EVS, Evolving Skies",SWSH,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SWSH7/SWSH7_EN_139.png
766,Braviary,Colorless,Stage 1,U,"EVS, Evolving Skies",SWSH,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SWSH7/SWSH7_EN_137.png
767,Castform,Colorless,Basic,C,"CRE, Chilling Reign",SWSH,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SWSH6/SWSH6_EN_121.png
768,Persian,Colorless,Stage 1,U,"FST, Fusion Strike",SWSH,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SWSH8/SWSH8_EN_200.png
769,Minccino,Colorless,Basic,C,"TEF, Temporal Forces",SV,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV05/SV05_EN_136.png
770,Buneary,Colorless,Basic,C,"FST, Fusion Strike",SWSH,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SWSH8/SWSH8_EN_212.png
771,Lickitung,Colorless,Basic,C,"TEF, Temporal Forces",SV,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV05/SV05_EN_124.png
772,Pidove,Colorless,Basic,C,"TEF, Temporal Forces",SV,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV05/SV05_EN_133.png
773,Dudunsparce,Colorless,Basic,R,"TEF, Temporal Forces",SV,3,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV05/SV05_EN_129.png
774,Jigglypuff,Colorless,Basic,C,"MEW, 151",SV,4,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV3PT5/SV3PT5_EN_39.png
775,Wigglytuff,Colorless,Stage 1,RR,"MEW, 151",SV,4,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV3PT5/SV3PT5_EN_40.png
776,Snorlax,Colorless,Basic,R,"VIV, Vivid Voltage",SWSH,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SWSH4/SWSH4_EN_131.png
777,Skwovet,Colorless,Basic,C,"SVI, Scarlet & Violet",SV,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV01/SV01_EN_151.png
778,Drampa,Colorless,Basic,R,"TEF, Temporal Forces",SV,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV05/SV05_EN_138.png
779,Unfezant,Colorless,Stage 2,U,"TEF, Temporal Forces",SV,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV05/SV05_EN_135.png
780,Meowth,Colorless,Basic,C,"SFA, Shrouded Fable",SV,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV6PT5/SV6PT5_EN_48.png
781,Helioptile,Colorless,Basic,C,"SSP, Surging Sparks",SV,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV08/SV08_EN_154.png
782,Heliolisk,Colorless,Stage 1,C,"SSP, Surging Sparks",SV,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV08/SV08_EN_155.png
783,Bewear,Colorless,Stage 1,C,"SFA, Shrouded Fable",SV,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV6PT5/SV6PT5_EN_53.png
784,Ambipom,Colorless,Stage 1,U,"TWM, Twilight Masquerade",SV,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV06/SV06_EN_138.png
785,Tauros,Colorless,Basic,C,"SCR, Stellar Crown",SV,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV07/SV07_EN_112.png
786,Yungoos,Colorless,Basic,C,"OBF, Obsidian Flames",SV,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV03/SV03_EN_176.png
787,Snorlax,Colorless,Basic,U,"TWM, Twilight Masquerade",SV,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV06/SV06_EN_136.png
788,Swanna,Colorless,Stage 1,U,"TWM, Twilight Masquerade",SV,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV06/SV06_EN_140.png
789,Eevee,Colorless,Basic,C,"TWM, Twilight Masquerade",SV,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV06/SV06_EN_135.png
790,Blissey ex,Colorless,Stage 1,RR,"TWM, Twilight Masquerade",SV,2,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV06/SV06_EN_134.png
791,Aipom,Colorless,Basic,C,"TWM, Twilight Masquerade",SV,3,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV06/SV06_EN_137.png
792,Farfetch'd,Colorless,Basic,C,"TWM, Twilight Masquerade",SV,2,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SV06/SV06_EN_132.png
793,Zubat,Psychic,Basic,C,"UNB, Unbroken Bonds",SM,7,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM10/SM10_EN_64.png
794,Golbat,Psychic,Stage 1,U,"UNB, Unbroken Bonds",SM,4,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM10/SM10_EN_65.png
795,Crobat,Psychic,Stage 2,R,"UNB, Unbroken Bonds",SM,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM10/SM10_EN_66.png
796,Crobat,Psychic,Stage 2,R,"SUM, Sun & Moon",SM,1,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM1/SM1_EN_56.png
797,Espurr,Psychic,Basic,C,"UNB, Unbroken Bonds",SM,9,https://assets.pokemon.com/static-assets/content-assets/cms2/img/cards/web/SM10/SM10_EN_79.png
